dct:description,rdfs:label,skos:notation,Comment,Constraints,id,name
"'IUPAC: manganese, PubChem CID: 23930, CAS Number: 7439-96-5, in particle phase, TSP'@en","Mn (manganese), TSP",'702',with Constraint,,497,"Mn (manganese), TSP"
"'IUPAC: mercury, PubChem CID: 23931, CAS Number: 7439-97-6, in particle phase, TSP'@en","Hg (mercury), TSP",'703',with Constraint,,498,"Hg (mercury), TSP"
"'IUPAC: nickel, PubChem CID: 935, CAS Number: 7440-02-0, in particle phase, PM10'@en","Ni (nickel), PM10",'704',with Constraint,,499,"Ni (nickel), PM10"
"'IUPAC: nickel, PubChem CID: 935, CAS Number: 7440-02-0, in particle phase, TSP'@en","Ni (nickel), TSP",'705',with Constraint,,500,"Ni (nickel), TSP"
"'IUPAC: phosphorus, PubChem CID: 5462309, CAS Number: 7723-14-0, in particle phase, PM2.5'@en","P (phosphorous), PM2.5",'706',with Constraint,,501,"P (phosphorous), PM2.5"
"'IUPAC: phosphorus, PubChem CID: 5462309, CAS Number: 7723-14-0, in particle phase, TSP'@en","P (phosphorous), TSP",'707',with Constraint,,502,"P (phosphorous), TSP"
"'IUPAC: rubidium, PubChem CID: 5357696, CAS Number: 7440-17-7, in particle phase, PM2.5'@en","Rb (rubidium), PM2.5",'708',with Constraint,,503,"Rb (rubidium), PM2.5"
"'IUPAC: rubidium, PubChem CID: 5357696, CAS Number: 7440-17-7, in particle phase, TSP'@en","Rb (rubidium), TSP",'709',with Constraint,,504,"Rb (rubidium), TSP"
"'IUPAC: selenium, PubChem CID: 6326970, CAS Number: 7782-49-2, in particle phase, TSP'@en","Se (selenium), TSP",'710',with Constraint,,505,"Se (selenium), TSP"
"'IUPAC: strontium, PubChem CID: 5359327, CAS Number: 7440-24-6, in particle phase, PM2.5'@en","Sr (strontium), PM2.5",'711',with Constraint,,506,"Sr (strontium), PM2.5"
"'IUPAC: strontium, PubChem CID: 5359327, CAS Number: 7440-24-6, in particle phase, TSP'@en","Sr (strontium), TSP",'712',with Constraint,,507,"Sr (strontium), TSP"
"'IUPAC: thallium, PubChem CID: 5359464, CAS Number: 7440-28-0, in particle phase, PM2.5'@en","Tl (thallium), PM2.5",'713',with Constraint,,508,"Tl (thallium), PM2.5"
"'IUPAC: thallium, PubChem CID: 5359464, CAS Number: 7440-28-0, in particle phase, TSP'@en","Tl (thallium), TSP",'714',with Constraint,,509,"Tl (thallium), TSP"
"'IUPAC: thorium, PubChem CID: 23960, CAS Number: 7440-29-1, in particle phase, PM2.5'@en","Th (thorium), PM2.5",'715',with Constraint,,510,"Th (thorium), PM2.5"
"'IUPAC: thorium, PubChem CID: 23960, CAS Number: 7440-29-1, in particle phase, TSP'@en","Th (thorium), TSP",'716',with Constraint,,511,"Th (thorium), TSP"
"'IUPAC: tin, PubChem CID: 5352426, CAS Number: 7440-31-5, in particle phase, PM2.5'@en","Sn (tin), PM2.5",'717',with Constraint,,512,"Sn (tin), PM2.5"
"'IUPAC: tin, PubChem CID: 5352426, CAS Number: 7440-31-5, in particle phase, TSP'@en","Sn (tin), TSP",'718',with Constraint,,513,"Sn (tin), TSP"
"'IUPAC: uranium, PubChem CID: 23989, CAS Number: 7440-61-1, in particle phase, PM2.5'@en","U (uranium), PM2.5",'719',with Constraint,,514,"U (uranium), PM2.5"
"'IUPAC: uranium, PubChem CID: 23989, CAS Number: 7440-61-1, in particle phase, TSP'@en","U (uranium), TSP",'720',with Constraint,,515,"U (uranium), TSP"
"'IUPAC: vanadium, PubChem CID: 23990, CAS Number: 7440-62-2, in particle phase, PM2.5'@en","V (vanadium), PM2.5",'721',with Constraint,,516,"V (vanadium), PM2.5"
"'IUPAC: vanadium, PubChem CID: 23990, CAS Number: 7440-62-2, in particle phase, TSP'@en","V (vanadium), TSP",'722',with Constraint,,517,"V (vanadium), TSP"
"'IUPAC: zinc, PubChem CID: 23994, CAS Number: 7440-66-6, in particle phase, PM2.5'@en","Zn (zinc), PM2.5",'723',with Constraint,,518,"Zn (zinc), PM2.5"
"'IUPAC: zinc, PubChem CID: 23994, CAS Number: 7440-66-6, in particle phase, TSP'@en","Zn (zinc), TSP",'724',with Constraint,,519,"Zn (zinc), TSP"
